hospital_name,ownership,specialty,approx_beds,emergency_24x7,accreditation,address,state,district,latitude,longitude
Rangadore Memorial Hospital,Private,Multispecialty / General,,0.0,0.0,"1St Cross, Shankarapuram, Basavanagudi",Karnataka,Bengaluru Urban,12.9421166,77.5753609
Sharada Dhanvantari Haemodialysis Centre,Private,Renal / Uro,,0.0,0.0,"1St Cross, Shankarapuram",Karnataka,Bengaluru Urban,13.0632319,80.221594
The Bangalore Hospital,Private,Multispecialty / General,,0.0,0.0,"202, Rashtriya Vidyalaya Road",Karnataka,Bengaluru Urban,12.937683,77.580401
Trinity Hospital And Heart Foundation,Private,Cardiac,,0.0,0.0,"No 27, See Rama Mandir Road, Near R.V. Teacher College Circle Between Lalbgh West And South End Circle, Basavanagudi",Karnataka,Bengaluru Urban,12.9421166,77.5753609
Vijaya Eye Clinic and Research Center,Private,Eye / Ophthalmology,,0.0,0.0,"No. 93 / 1, Vanivilas Road, Basavangudi",Karnataka,Bengaluru Urban,12.948411,77.5720259
Cantonment Poly Clinic And Nursing Home,Private,Multispecialty / General,,0.0,0.0,64 Spencer Road Near Coles Park Frazer Town,Karnataka,Bengaluru Urban,12.9959689,77.6124149
Chitra Clinic And Nursing Home,Private,Multispecialty / General,,0.0,0.0,"Campbell Road, Cox Town",Karnataka,Bengaluru Urban,12.9950808,77.6250965
Coxtown Meternity Hospital,Private,Multispecialty / General,,0.0,0.0,"Near Frazer Town Police Station, Coxtown",Karnataka,Bengaluru Urban,12.9994421,77.6197371
Dr. Thomas`S Cantoment Poly Clinic andNursing Home,Private,Multispecialty / General,,0.0,0.0,"No.64, Spencer Road, Near Coles Park, Frazer Town",Karnataka,Bengaluru Urban,12.9959689,77.6124149
"Dr.Agarwal Eye Hospital, Frazer Town, Bangalore",Private,Eye / Ophthalmology,,0.0,0.0,"No.33, Coles Road,Frazer Town",Karnataka,Bengaluru Urban,12.9950476,77.6147422
Eye Care Centre,Private,Eye / Ophthalmology,,0.0,0.0,No 45 St. John S Charch Roadcleveland Town,Karnataka,Bengaluru Urban,12.9925861,77.6098673
